graph name, algorithm, score, time
LFR_N500_ad5_mc50_mu0.5_i8, leiden, 0.5306925235627425, 0.07459688300150447
LFR_N500000_ad5_mc50_mu0.5_i25, label propagation, 0.9666783617179971, 414.290947458001
LFR_N500000_ad5_mc50_mu0.5_i25, infomap, 0.9691475906189648, 173.61594471800345
LFR_N500000_ad5_mc50_mu0.5_i25, louvain, 0.6037588740291825, 604.0908523270045
LFR_N500000_ad5_mc50_mu0.5_i25, leiden, 0.6790635865902882, 130.6278815580008
LFR_N100_ad5_mc50_mu0.5_i12, label propagation, 9.358196345708296e-16, 1.1839159470036975
LFR_N100_ad5_mc50_mu0.5_i12, infomap, 9.358196345708296e-16, 0.007345969002926722
LFR_N100_ad5_mc50_mu0.5_i12, louvain, 0.021671793324227643, 0.018235338997328654
LFR_N100_ad5_mc50_mu0.5_i12, leiden, 0.023465527002494685, 0.012631603000045288
LFR_N10000_ad5_mc50_mu0.5, label propagation, 3.2702869472910304e-16, 8.272187413997017
